"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year","inside"
"94","HAM-037","HAM",37,6,NA,NA,43.2789,-79.88599,NA,NA,2021-11-09 19:17:00,2022-11-14 18:40:00,4.9,NA,NA,"VR2W",69,119693,"MAP-114",NA,NA,NA,"No","HAMLO","No","2021",TRUE
"95","HAM-037","HAM",37,7,NA,NA,43.2789,-79.88599,NA,NA,2022-11-23 16:15:00,2023-12-01 15:30:00,4.9,NA,NA,"VR2W",69,119693,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"96","HAM-037","HAM",37,8,NA,NA,43.27886,-79.88536,NA,NA,2023-12-05 16:15:00,2025-06-10 15:10:00,4.9,NA,NA,"VR2W",69,119693,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"97","HAM-039","HAM",39,8,NA,NA,43.28176,-79.85158,NA,NA,2022-06-09 18:31:00,2023-06-23 16:45:00,19.7,NA,NA,"VR2AR",69,547996,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"98","HAM-041","HAM",41,9,NA,NA,43.2767,-79.83893,NA,NA,2022-09-15 17:28:00,2023-08-16 15:50:00,NA,NA,NA,"VR2W",69,133001,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"99","HAM-041","HAM",41,10,NA,NA,43.2767,-79.83893,NA,NA,2023-08-16 15:50:00,2024-08-23 15:30:00,NA,NA,NA,"VR2W",69,133001,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"100","HAM-041","HAM",41,11,NA,NA,43.2767,-79.83893,NA,NA,2024-08-23 15:35:00,2025-08-06 17:00:00,NA,NA,NA,"VR2W",69,133001,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024",TRUE
"101","HAM-041","HAM",41,12,NA,NA,43.2767,-79.83893,NA,NA,2025-08-06 17:05:00,2025-11-19 17:55:00,NA,NA,NA,"VR2W",69,133001,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
"102","HAM-042","HAM",42,7,NA,NA,43.26864,-79.93536,NA,NA,2023-04-28 16:13:00,2024-03-27 14:30:00,1.56,NA,NA,"VR2W",69,127850,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"103","HAM-042","HAM",42,8,NA,NA,43.26864,-79.93536,NA,NA,2024-03-27 14:33:00,2024-10-31 13:46:00,1.1,NA,NA,"VR2W",69,127850,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024",TRUE
"104","HAM-043","HAM",43,7,NA,NA,43.27957,-79.8915,NA,NA,2022-09-15 16:38:00,2023-08-16 19:06:00,2,NA,NA,"VR2W",69,121999,"MAP-115","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2022",TRUE
"105","HAM-043","HAM",43,8,NA,NA,43.27957,-79.8915,NA,NA,2023-08-16 19:06:00,2024-08-27 14:51:00,NA,NA,NA,"VR2W",69,121999,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"106","HAM-043","HAM",43,9,NA,NA,43.27957,-79.8915,NA,NA,2024-08-27 14:54:00,2025-08-01 16:00:00,NA,NA,NA,"VR2W",69,121999,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
